"Ref","DeletionMark","isProduction","SelectedStyle","Description_en","Description_hash","Description_ru","Description_tr"
"e1cib/data/Catalog.DataBaseStatus?ref=b762b13668d0905011eb7663d2dfc222","False","True","Auto","File_""C__QA_DBFromAgent_ТестоваяСДанными""_","File_""C__QA_DBFromAgent_ТестоваяСДанными""_","File_""C__QA_DBFromAgent_ТестоваяСДанными""_","File_""C__QA_DBFromAgent_ТестоваяСДанными""_"
"e1cib/data/Catalog.DataBaseStatus?ref=b76cbacb2511e57d11ebe9f3ad7a2468","False","True","Auto","File_""C__BuildAgentTwo_work_161527a3295c878a_VAResult_AllSteps_TestDataBase""_","File_""C__BuildAgentTwo_work_161527a3295c878a_VAResult_AllSteps_TestDataBase""_","File_""C__BuildAgentTwo_work_161527a3295c878a_VAResult_AllSteps_TestDataBase""_","File_""C__BuildAgentTwo_work_161527a3295c878a_VAResult_AllSteps_TestDataBase""_"
"e1cib/data/Catalog.DataBaseStatus?ref=b76cbacb2511e57d11ebeab0dfce2212","False","False","Auto","File_""C__QA_DBFromAgent_Other""_","File_""C__QA_DBFromAgent_Other""_","File_""C__QA_DBFromAgent_Other""_","File_""C__QA_DBFromAgent_Other""_"
"e1cib/data/Catalog.DataBaseStatus?ref=b771ba98a7719ecf11ec3335036600d0","False","True","Auto","File_""C__BuildAgentOne_work_161527a3295c878a_VAResult_AllSteps_TestDataBase""_","File_""C__BuildAgentOne_work_161527a3295c878a_VAResult_AllSteps_TestDataBase""_","File_""C__BuildAgentOne_work_161527a3295c878a_VAResult_AllSteps_TestDataBase""_","File_""C__BuildAgentOne_work_161527a3295c878a_VAResult_AllSteps_TestDataBase""_"
"e1cib/data/Catalog.DataBaseStatus?ref=b771ba98a7719ecf11ec33e232001312","False","False","Auto","File_""C__QA_DBFromAgent_ItemCatalogs""_","File_""C__QA_DBFromAgent_ItemCatalogs""_","File_""C__QA_DBFromAgent_ItemCatalogs""_","File_""C__QA_DBFromAgent_ItemCatalogs""_"
"e1cib/data/Catalog.DataBaseStatus?ref=badc00155d00680111ec3430ea6c0199","False","False","Auto","File_""C__Users_Seramiti_Documents_InfoBase2""_","File_""C__Users_Seramiti_Documents_InfoBase2""_","File_""C__Users_Seramiti_Documents_InfoBase2""_","File_""C__Users_Seramiti_Documents_InfoBase2""_"
